Label;Denomination;Content;Rock type / Mineral;Location;Producer;Comments;Links
JSl-1;Geochemical Standard JSI-1 Slate;Slate;Slate;Toyama clay slate, Permian, Toyama-cho, Miyagi Prefecture, JPN;Geological Survey of Japan;Split 9 Position 68;http://www.geostandards.lanl.gov/AllAnalytes/All-JSl-1_1.html
KB;Kontrollprobe Min.Inst. Freiberg;Basalt;Basalt;;;;
KC-1a;Zn-Pb-Su-Ag-ore;;;;;;
KC-1a;Zink-Lead-Tin-Silver Ore KC-1A;;;;;Oct. 1983;
KH(3);;Limestone;Limestone;DDR;;;
KK;;;;Gö;;;
KK 61;KK 61 Fl.D 4 GÖ;;;;;;
KP;Kontrollprobe Min.Inst. Freiberg;Peridotite;Peridotite;;;;
KS;;;;KTB;;;
M 7071;Monitor_Shoshonit;;Shoshonite;;;JS 77/7/1;
M7071;Monitor_Shoshonit;;Shoshonite;;;JR77-7-1;
MA 143;Konzentrat Minexa;;;;;;
MA1;Mars-1;;F;Marsberg;;;
MA-N;;Granite;Granite;Beauvoir, FRA ;"Groupe International de Travail ""Etalons analytiques des mineraux, minerais et roches""";~13,6g;http://www.geostandards.lanl.gov/AllAnalytes/All-MA-N_1.html
MARS 1;MARS1 F;;;;;;
MASS-1;;Polymetal sulfide;Polymetal Sulfide;USGS laboratory;United States Geological Survey;;
MB;;Basalt;Basalt;KTB;;;
MESS-1;Marine Sediment;Aquatic Sediment;Marine Sediment;;;;
Mica-Fe;;Mica;Biotite (Mica);Massif de Saint-sylvestre (Massif Central), FRA ;Centre de Recherches Petrographiques et Geochimiques;~6g;http://www.geostandards.lanl.gov/AllAnalytes/All-Mica-Fe_1.html
Mica-Mg;CRPG;Mica;Phlogopite (Mica);Bekily, MDG;Centre de Recherches Petrographiques et Geochimiques;10g;http://www.geostandards.lanl.gov/AllAnalytes/All-Mica-Mg_1.html
MIL;Milbillilli;;Milliblilli;;;~30 g;
MP-1a;Zu-Su-Cu-Pb ore MP-1a;;;;;Roth Nr. 2586;
MP-1a;Zink-Tin-Copper-Lead Ore, MP-1a;;;Ottawa;Geological Survey of Canada;;
MQSB-1;Mecca Black Shale;Shale;Black Shale;;;6,3 g;
MQSB-1 N-2;Mecca Quarry Shale Bed B;Shale;Indiana Split #-2;Velpen;University of Missouri;Kansas City Mo 64110-2499 USA;
MQSB-1 N-5;Mecca Quarry Shale Bed B;Shale;Indiana Split #-5;Velpen;University of Missouri;Kansas City Mo 64110-2499 USA;
MRG-1;;Gabbro;Gabbro;;;~0,9g Rothnummer 2586;
